year,ami_group,region,tenure,total_hh,total_hh_se
2012,0-30,3,Own,63068,2922.8212810619943
2012,0-30,3,Rent,153268,5202.05485586569
2012,0-30,4,Own,4243,645.3944165244354
2012,0-30,4,Rent,6118,1027.157777876377
2012,30-50,1,Own,8566,1235.7500973082317
2012,30-50,1,Rent,6274,1026.0860507376126
2012,30-50,2,Own,6235,846.5411610932122
2012,30-50,2,Rent,7411,1211.958018082086
2012,30-50,3,Own,82624,3237.750579577798
2012,30-50,3,Rent,115348,4623.313692311818
2012,30-50,4,Own,5536,699.3680079014432
2012,30-50,4,Rent,4434,775.0274282100605
2012,50-80,1,Own,16646,1665.7117837226726
2012,50-80,1,Rent,9285,1433.6703175436646
2012,50-80,2,Own,15123,1485.2455515640047
2012,50-80,2,Rent,9716,1491.085798042979
2012,50-80,3,Own,154877,4579.88365611257
2012,50-80,3,Rent,129578,4796.957222450609
2012,50-80,4,Own,9839,1026.21221581696
2012,50-80,4,Rent,4869,667.7669563486896
2012,80-100,1,Own,8455,1044.5327639757852
2012,80-100,1,Rent,3835,875.8290150139885
2012,80-100,2,Own,9450,1314.325530025205
2012,80-100,2,Rent,3259,776.5781466541857
2012,80-100,3,Own,115405,3915.8293754929687
2012,80-100,3,Rent,65719,3432.7353437532897
2012,80-100,4,Own,4981,653.5580228947769
2012,80-100,4,Rent,2707,563.6831009756136
2012,100+,1,Own,52818,2726.582121488683
2012,100+,1,Rent,11241,1601.219553454251
2012,100+,2,Own,52819,2928.0221101026937
2012,100+,2,Rent,9734,1348.4039062456088
2012,100+,3,Own,626752,8983.02135459096
2012,100+,3,Rent,149116,5128.7721048405965
2012,100+,4,Own,29578,1652.874601455147
2012,100+,4,Rent,6452,932.415609193768
2012,NA,1,Own,302,248.59994242809387
2012,NA,2,Own,88,87.99999999999784
2012,NA,2,Rent,38,38.000000000002316
2012,NA,3,Own,515,284.7289415945258
2012,NA,3,Rent,365,185.44209154115683
2012,NA,4,Own,77,44.73243601664764
2012,NA,4,Rent,46,45.99999999999795
2013,0-30,1,Own,5612,1032.0886481273176
2013,0-30,1,Rent,8535,1446.2848468594227
2013,0-30,2,Own,5041,874.8608319421412
2013,0-30,2,Rent,7533,1176.3119414506643
2013,0-30,3,Own,70793,3149.0342807932834
2013,0-30,3,Rent,143748,5141.471082514122
2013,0-30,4,Own,3700,533.5547880374464
2013,0-30,4,Rent,4462,716.3900676224011
2013,30-50,1,Own,7676,1116.2470093981317
