year,tenure,ami_group,region,hh_allocated,total_households,pct_hh_ten,pct_hh_ami_ten
2043,Owner,Greater than 120,2,55983.70052250378,164574,0.7338012409724342,0.46357705821446954
2043,Owner,Less than 30,2,12070.447696686242,164574,0.7338012409724342,0.09995021019219998
2043,Renter,100 to 120,2,3859.4958430122124,164574,0.2661987590275659,0.08809744761488851
2043,Renter,30 to 50,2,5963.992115735523,164574,0.2661987590275659,0.13613500425007602
2043,Renter,50 to 80,2,9714.163477047823,164574,0.2661987590275659,0.22173699437742234
2043,Renter,80 to 100,2,5354.508130258512,164574,0.2661987590275659,0.12222282875702821
2043,Renter,Greater than 120,2,10125.15520043843,164574,0.2661987590275659,0.23111835486965132
2043,Renter,Less than 30,2,8792.079801710128,164574,0.2661987590275659,0.20068937013093355
2043,Owner,100 to 120,3,170927.98259365995,2485376,0.6466573914109067,0.1063522838533256
2043,Owner,30 to 50,3,130599.75636526366,2485376,0.6466573914109067,0.08125985078261187
2043,Owner,50 to 80,3,250210.61860399763,2485376,0.6466573914109067,0.15568235422369972
2043,Owner,80 to 100,3,172630.10678447018,2485376,0.6466573914109067,0.10741135441829568
2043,Owner,Greater than 120,3,761776.7165851553,2485376,0.6466573914109067,0.47398145327506996
2043,Owner,Less than 30,3,121041.57990272673,2485376,0.6466573914109067,0.07531270344699705
2043,Renter,100 to 120,3,79403.39758712683,2485376,0.3533426085890933,0.0904171835021002
2043,Renter,30 to 50,3,135124.8359239978,2485376,0.3533426085890933,0.15386756054141512
2043,Renter,50 to 80,3,203802.55868586747,2485376,0.3533426085890933,0.23207134589773673
2043,Renter,80 to 100,3,101245.27789613878,2485376,0.3533426085890933,0.11528867968416054
2043,Renter,Greater than 120,3,172828.23764265978,2485376,0.3533426085890933,0.19680067795756892
2043,Renter,Less than 30,3,185784.9314289357,2485376,0.3533426085890933,0.2115545524170185
2043,Owner,100 to 120,4,6524.554429115697,91191,0.7146609645171444,0.1001149233253849
2043,Owner,30 to 50,4,6751.882773068198,91191,0.7146609645171444,0.1036031246994021
2043,Owner,50 to 80,4,9628.955573163716,91191,0.7146609645171444,0.14774988229218874
2043,Owner,80 to 100,4,6085.734839192871,91191,0.7146609645171444,0.09338153025217316
2043,Owner,Greater than 120,4,29207.89789317153,91191,0.7146609645171444,0.4481756554932843
2043,Owner,Less than 30,4,6971.622507570905,91191,0.7146609645171444,0.10697488393756675
2043,Renter,100 to 120,4,1696.5491213407286,91191,0.28533903548285555,0.06520085209981741
2043,Renter,30 to 50,4,4478.929273084479,91191,0.28533903548285555,0.17213177115033476
2043,Renter,50 to 80,4,4965.920036036427,91191,0.28533903548285555,0.19084753499695678
2043,Renter,80 to 100,4,2182.5500656687905,91191,0.28533903548285555,0.08387857577601948
2043,Renter,Greater than 120,4,5149.03648145535,91191,0.28533903548285555,0.19788496652465004
2043,Renter,Less than 30,4,7547.3670071313045,91191,0.28533903548285555,0.29005629945222156
2044,Owner,100 to 120,0,202447.968024064,2943693.9999999995,0.6593400842748396,0.10430647772396018
2044,Owner,30 to 50,0,162020.49910795043,2943693.9999999995,0.6593400842748396,0.08347719044045701
2044,Owner,50 to 80,0,301712.86670730985,2943693.9999999995,0.6593400842748396,0.15545034468559063
2044,Owner,80 to 100,0,206960.01880094036,2943693.9999999995,0.6593400842748396,0.10663120406446704
2044,Owner,Greater than 120,0,913310.7671255018,2943693.9999999995,0.6593400842748396,0.4705615478190699
2044,Owner,Less than 30,0,154443.33027357282,2943693.9999999995,0.6593400842748396,0.07957323526645521
2044,Renter,100 to 120,0,89983.01538456365,2943693.9999999995,0.3406599157251605,0.08973189619001111
2044,Renter,30 to 50,0,154588.84759714082,2943693.9999999995,0.3406599157251605,0.1541574303265649
