year,ami_group,region,tenure,total_hh,total_hh_se
2012,100+,2,1,54492,2949.7599025756267
2012,100+,2,2,10265,1393.4694055983516
2012,100+,3,1,633437,9054.82633080684
2012,100+,3,2,161999,5362.067401016041
2012,100+,4,1,29916,1661.6556844039353
2012,100+,4,2,6542,949.992747934932
2012,NA,1,1,302,248.5999706654768
2012,NA,2,1,88,87.99999999999825
2012,NA,2,2,38,38.00000000000197
2012,NA,3,1,515,284.7290960126985
2012,NA,3,2,365,185.44221879050977
2012,NA,4,1,77,44.73245698178949
2012,NA,4,2,46,46.0000000000011
2013,0-30,1,1,5793,1047.8448053844436
2013,0-30,1,2,8771,1458.0123883801955
2013,0-30,2,1,5124,893.1252642260902
2013,0-30,2,2,5938,991.4566883017286
2013,0-30,3,1,65631,2959.4368534918667
2013,0-30,3,2,123575,4708.947000908772
2013,0-30,4,1,3893,591.5923542000246
2013,0-30,4,2,4180,718.9815867335388
2013,30-50,1,1,7266,1093.1633934184304
2013,30-50,1,2,8304,1394.5212770944913
2013,30-50,2,1,6379,962.4132040128069
2013,30-50,2,2,8454,1315.9371300080268
2013,30-50,3,1,80399,3299.7513172028866
2013,30-50,3,2,113096,4607.148941999087
2013,30-50,4,1,5578,847.3461922100603
2013,30-50,4,2,5890,888.2798313246221
2013,50-80,1,1,12555,1441.5582612149976
2013,50-80,1,2,8167,1232.3311205042553
2013,50-80,2,1,12930,1375.9204681753408
2013,50-80,2,2,7753,1093.6240796631823
2013,50-80,3,1,156943,4565.660728003602
2013,50-80,3,2,139433,5107.721413857766
2013,50-80,4,1,8057,944.8789032867545
2013,50-80,4,2,3706,676.0009987468675
2013,80-100,1,1,7983,1239.857871654763
2013,80-100,1,2,4206,998.6375764188432
2013,80-100,2,1,10087,1340.472096252611
2013,80-100,2,2,5589,1103.3608967888385
2013,80-100,3,1,121217,3941.354480678823
2013,80-100,3,2,66187,3397.5313972354074
2013,80-100,4,1,5299,777.5615685249198
2013,80-100,4,2,2588,623.1390587004588
2013,100+,1,1,54104,2794.149968748518
2013,100+,1,2,10907,1327.7874144916325
2013,100+,2,1,50735,2760.1989821029024
2013,100+,2,2,8241,1185.0348198042325
2013,100+,3,1,646256,8999.494773252132
2013,100+,3,2,161546,5232.1839951421325
2013,100+,4,1,30964,1657.4513984755151
2013,100+,4,2,8685,1224.317666271057
2013,NA,3,1,342,185.31013627885372
2014,0-30,1,1,7198,1146.4668561763924
2014,0-30,1,2,10233,1586.1157800536016
2014,0-30,2,1,5823,868.8448954054028
2014,0-30,2,2,7339,1385.3427625648444
2014,0-30,3,1,61416,2746.421562421909
2014,0-30,3,2,135105,4996.305820699047
2014,0-30,4,1,3062,453.98785921706934
2014,0-30,4,2,6027,931.8557694184411
2014,30-50,1,1,9267,1221.3870548414754
2014,30-50,1,2,7680,1160.2866017149906
2014,30-50,2,1,8728,1150.9313768675934
2014,30-50,2,2,4040,729.7826303639547
2014,30-50,3,1,79844,3231.9121338529144
2014,30-50,3,2,109841,4542.005554810414
2014,30-50,4,1,4388,703.685421974306
2014,30-50,4,2,3718,844.7518341775944
2014,50-80,1,1,15988,1655.866098818087
2014,50-80,1,2,8764,1153.0359379461038
2014,50-80,2,1,13966,1580.7632741700208
2014,50-80,2,2,9224,1402.3029968912704
2014,50-80,3,1,161694,4592.845619324377
2014,50-80,3,2,140155,5049.946355446588
2014,50-80,4,1,8996,973.4903779510571
2014,50-80,4,2,4863,863.0506814370909
